oder_id,if_loaded,sku_counts,total_skuvolume,sku_average_volume,sku_length_var,sku_width_var,sku_height_var,aspect_ratio_var,vehicle_capacity,sku_length_avg,sku_width_avg,sku_height_avg,max_asr,vehicle_length,vehicle_width,vehicle_height,spare_capacity,sku_concentration
102,1,96,17.230879,0.179488323,0.031035026,0.008315875,0.027958843,0.349838265,20.286,0.979375,0.401979167,0.460729167,4.038461538,4.2,2.3,2.1,3.055121,5
103,0,96,20.25324,0.21097125,0,0,0,0,20.286,0.525,0.47,0.855,1.819148936,4.2,2.3,2.1,0.03276,1
104,1,10,13.55376,1.355376,0,0,0,0,20.286,0.96,0.755,1.87,2.476821192,4.2,2.3,2.1,6.73224,1
105,1,49,16.957794,0.346077429,0.00393496,0.019975427,0.245657643,0.283900583,20.286,0.539755102,0.522040816,0.980102041,3.013392857,4.2,2.3,2.1,3.328206,2
106,1,38,17.04613425,0.44858248,0.239947732,0.021626247,0.044184089,0.544894048,20.286,1.298289474,0.529736842,0.601447368,3.814814815,4.2,2.3,2.1,3.23986575,6
107,0,38,17.98284238,0.473232694,0.000611884,0.000543023,0.001440443,0.011195402,20.286,0.684105263,0.684236842,1.012368421,1.633435583,4.2,2.3,2.1,2.30315762,3
108,0,40,18.24591,0.45614775,0.06375625,0.02325625,0.09,1.72603859,18.54,1.3175,0.6525,0.63,4.757575758,4.12,2.25,2,0.29409,2
109,0,38,18.471705,0.4860975,0,0,0,0,18.54,0.705,0.7,0.985,1.407142857,4.12,2.25,2,0.068295,1
110,0,120,19.06312337,0.158859361,0.002741366,0.00050275,0.028039608,0.316737022,18.54,0.910725,0.386,0.446658333,3.482142857,4.12,2.25,2,-0.52312337,5
111,1,120,16.51757834,0.137646486,0.093378393,0.011502116,0.067164753,0.75219569,18.54,0.680583333,0.369683333,0.470616667,4.375,4.12,2.25,2,2.022421658,18
112,1,112,17.036264,0.1521095,0.00030625,0.00005625,0.0289,0.231104297,18.522,0.9075,0.3725,0.45,3.303571429,4.2,2.1,2.1,1.485736,2
113,1,300,17.08245,0.0569415,0,0,0,4.93E-32,18.522,0.35,0.33,0.493,1.493939394,4.2,2.1,2.1,1.43955,1
114,1,93,16.60661478,0.17856575,0.071803691,0.010564213,0.076999399,0.851945327,18.522,0.786516129,0.419043011,0.505612903,5.137931034,4.2,2.1,2.1,1.915385218,22
115,0,84,17.54517163,0.208871091,0.057750221,0.023078122,0.123246297,0.449367071,18.522,0.693571429,0.444595238,0.591011905,3.310344828,4.2,2.1,2.1,0.976828375,10
116,1,70,16.2899946,0.232714209,0.081395515,0.008205066,0.067578959,0.58187742,18.522,0.960642857,0.441928571,0.546571429,4,4.2,2.1,2.1,2.2320054,8
117,1,106,16.123607,0.1521095,0.00030625,0.00005625,0.0289,0.231104297,18.522,0.9075,0.3725,0.45,3.303571429,4.2,2.1,2.1,2.398393,2
118,1,102,15.35997767,0.150588016,0.002551284,0.000366895,0.029060303,0.257884345,18.522,0.902656863,0.373647059,0.446245098,3.977777778,4.2,2.1,2.1,3.162022327,4
119,0,46,18.65739476,0.405595538,0.228600444,0.008668225,0.064714568,1.710338169,18.522,1.376347826,0.53776087,0.624673913,5.137931034,4.2,2.1,2.1,-0.13539476,6
120,1,300,17.08245,0.0569415,0,0,0,4.93E-32,18.522,0.35,0.33,0.493,1.493939394,4.2,2.1,2.1,1.43955,1
121,1,300,17.08245,0.0569415,0,0,0,4.93E-32,18.522,0.35,0.33,0.493,1.493939394,4.2,2.1,2.1,1.43955,1
122,1,41,13.28006853,0.323904111,0.179208243,0.025994316,0.151986196,0.927409344,18.522,0.747414634,0.51497561,0.760268293,5.446428571,4.2,2.1,2.1,5.241931466,19
123,0,55,16.55027894,0.300914163,0.011679076,0.014276075,0.029411521,0.033230311,18.522,0.5796,0.537872727,0.883545455,2.076923077,4.2,2.1,2.1,1.97172106,9
124,1,50,14.81331968,0.296266394,0.01967564,0.01433909,0.084990966,0.794306211,18.522,0.8656,0.5129,0.64756,3.792270531,4.2,2.1,2.1,3.708680325,8
125,1,88,15.12435525,0.171867673,0.108173853,0.018959045,0.058350117,1.078285889,18.522,0.641681818,0.436477273,0.510795455,4.757575758,4.2,2.1,2.1,3.397644751,15
126,1,38,15.10158,0.39741,0.20475625,0.007225,0.030625,1.549742058,18.522,1.4525,0.525,0.575,4.7625,4.2,2.1,2.1,3.42042,2
127,1,42,14.15831388,0.337102711,0.082245311,0.03621663,0.216124447,4.450392074,17.22,1.005785714,0.55847619,0.623928571,11.55555556,4.1,2.1,2,3.061686125,23
128,1,16,7.93110025,0.495693766,0.013023809,0.019890625,0.457365234,0.668530305,16,0.5609375,0.5375,1.313125,2.92,4,2,2,8.06889975,3
129,0,40,19.4439,0.4860975,0,0,0,0,16,0.705,0.7,0.985,1.407142857,4,2,2,-3.4439,1
130,0,51,16.84303324,0.330255554,0.030854483,0.046699465,0.184229281,0.529399337,16,0.60454902,0.520470588,0.836666667,3.107142857,4,2,2,-0.843033235,14
131,1,46,10.05605798,0.218609956,0.241168496,0.019617021,0.038523286,1.415433105,16,0.786065217,0.436978261,0.535586957,5.137931034,4,2,2,5.943942018,11
132,0,242,15.78762743,0.06523813,0.035740581,0.006773934,0.021257267,0.136195793,16,0.419318182,0.276256198,0.425954545,4,4,2,2,0.212372573,13
133,0,38,17.48347635,0.460091483,0.053395429,0.001159252,1.94E-05,0.014336982,16,0.810789474,0.627105263,0.889631579,1.734992679,4,2,2,-1.48347635,3
134,1,50,42.130755,0.8426151,0.00173984,0.012374604,0.21739941,0.474762141,55.86,0.6846,0.76142,1.5633,3.029850746,9.5,2.4,2.45,13.729245,9
135,0,24,7.052251386,0.293843808,0.07506475,0.040932693,0.111265068,0.169330915,7.02,0.615,0.457875,0.736625,2.38,2.6,1.5,1.8,-0.032251386,11
136,0,21,7.1231451,0.339197386,0.020645011,0.01842195,0.069529855,0.271181035,7.425,0.628809524,0.589380952,0.848952381,3.293103448,3.3,1.5,1.5,0.3018549,8
137,0,29,5.626525326,0.194018115,0.09678308,0.020658319,0.285396942,1.204284545,7.02,0.559758621,0.382517241,0.587241379,5.137931034,2.6,1.5,1.8,1.393474674,13
138,0,22,5.708261748,0.259466443,0.108926614,0.029715777,0.040356671,3.782279818,6.9255,1.0695,0.494363636,0.500318182,11.55555556,2.7,1.5,1.71,1.217238252,12
139,1,55,4.616395883,0.083934471,0.13448347,0.042469906,0.026957298,4.002123331,6.48,0.497945455,0.335945455,0.365581818,11.55555556,2.7,1.5,1.6,1.863604117,18
140,0,12,7.055481,0.58795675,0.213428472,0.06778941,0.23188275,8.226587708,6.075,1.000833333,0.465416667,1.0395,8.1,2.7,1.5,1.5,-0.980481,5
141,0,33,6.260560314,0.189713949,0.03512485,0.009689774,0.115427098,0.415668344,7.02,0.868575758,0.365727273,0.499151515,5.137931034,2.6,1.5,1.8,0.759439686,9
142,1,118,6.051038192,0.051279985,0.024702224,0.019402879,0.009565325,0.350187083,6.9255,0.449338983,0.305322034,0.360745763,4.375,2.7,1.5,1.71,0.874461808,10
143,0,108,6.899059776,0.063880183,0.002287423,0.004291365,0.001130562,0.097476291,7.02,0.485722222,0.381074074,0.346740741,2.568181818,2.6,1.5,1.8,0.120940224,2
144,1,20,5.7348924,0.28674462,0.029171428,0.041665728,0.445707,0.276477113,7.02,0.49015,0.42285,0.631,2.816901408,2.6,1.5,1.8,1.2851076,4
145,1,168,6.16363966,0.036688331,0.033006238,0.004005678,0.00997191,0.591145565,6.9255,0.37097619,0.228654762,0.387083333,3.293103448,2.7,1.5,1.71,0.76186034,6
146,0,92,6.395355902,0.069514738,0.001911263,0.000722368,0.004337478,0.050354191,7.02,0.503771739,0.398956522,0.347,2.897959184,2.6,1.5,1.8,0.624644098,9
147,0,11,5.986568355,0.544233487,0.039951322,0.040592364,0.637835785,0.389847787,7.02,0.630363636,0.53,1.206818182,3.303571429,2.6,1.5,1.8,1.033431645,6
148,0,136,7.967715977,0.058586147,0.007311495,0.001901596,0.00404468,0.037276299,7.425,0.566220588,0.211852941,0.474235294,3.203125,3.3,1.5,1.5,-0.542715977,6
149,0,84,6.16364474,0.073376723,0.02030961,0.012699848,0.111898917,0.333113184,7.02,0.376761905,0.299904762,0.548154762,2.940298507,2.6,1.5,1.8,0.85635526,5
150,1,36,5.515783136,0.153216198,0.03798084,0.02369458,0.008851138,0.944262472,6.9255,0.963222222,0.345555556,0.489472222,7.652173913,2.7,1.5,1.71,1.409716864,9
151,1,34,5.52995574,0.162645757,0.050114183,0.019936852,0.058207669,0.299088771,6.9255,0.576588235,0.377029412,0.658088235,3.482142857,2.7,1.5,1.71,1.39554426,10
152,1,44,4.46283069,0.10142797,0.119321975,0.052941345,0.049538318,2.548650861,6.48,0.457545455,0.315863636,0.418,11.55555556,2.7,1.5,1.6,2.01716931,13
153,1,46,4.473016656,0.097239493,0.066647537,0.010819302,0.020025401,1.045344633,6.885,0.590630435,0.355956522,0.436891304,4.666666667,2.7,1.5,1.7,2.411983344,13
154,1,108,5.933908187,0.054943594,0.009231154,0.00982878,0.021879336,0.106726637,7.02,0.744777778,0.26475,0.21425,4.108374384,2.6,1.5,1.8,1.086091813,9
155,0,29,5.807946944,0.200274033,0.071115581,0.039980247,0.047180985,5.522330225,7.02,0.960068966,0.483448276,0.441344828,11.55555556,2.6,1.5,1.8,1.212053056,8
156,0,81,6.818518637,0.084179242,0.130193978,0.016132977,0.025915777,2.686592611,6.9255,0.533814815,0.298382716,0.446975309,10.34375,2.7,1.5,1.71,0.106981363,16
157,1,29,5.580710801,0.192438303,0.020498937,0.010510683,0.107933717,0.455231913,7.02,0.835448276,0.416275862,0.527275862,3.482142857,2.6,1.5,1.8,1.439289199,14
